cycle,time_start,time_end,u,v,w,B_u,dB_u,B_v,dB_v,B_w,dB_w
0,1565404632,1565404636,12.05,42.37,-32.75,0.476896,0.000145534,2.03504,5.4772e-05,0.377896,0.000105499
1,1565404640,1565404644,12.05,82.37,-32.75,0.371318,0.000262431,2.09416,5.4772e-05,0.35457,0.000824803
2,1565404650,1565404654,12.05,122.37,-32.75,0.26628,0.0015982960000000001,2.1416,7.071100000000001e-05,0.325922,0.002057576
3,1565404661,1565404665,12.05,162.37,-32.75,0.1475476,0.000664028,2.1783,0.0,0.29663,0.000370135
4,1565404670,1565404674,12.05,202.37,-32.75,0.0411784,0.001009318,2.2032599999999998,0.00013416399999999998,0.260594,0.00049049
5,1565404734,1565404738,12.05,42.37,7.25,0.42818999999999996,0.000123085,2.04922,4.4721e-05,0.393932,0.00032934800000000003
6,1565404742,1565404746,12.05,82.37,7.25,0.337424,0.000671885,2.1133,0.000173205,0.37434,0.000693866
7,1565404752,1565404756,12.05,122.37,7.25,0.24360199999999999,0.000190184,2.1663799999999998,4.4721e-05,0.34528400000000004,0.00022853900000000002
8,1565404762,1565404766,12.05,162.37,7.25,0.1439098,0.000822248,2.20664,5.4772e-05,0.315066,0.000564074
9,1565404772,1565404776,12.05,202.37,7.25,0.0419292,0.000602555,2.2361,0.0001,0.277592,0.0008276589999999999
10,1565404806,1565404810,12.05,42.37,47.25,0.384368,0.00038557699999999996,2.06702,4.4721e-05,0.4152,0.00019862
11,1565404815,1565404819,12.05,82.37,47.25,0.311802,0.000507464,2.1381,0.00087178,0.393636,0.005171458
12,1565404827,1565404831,12.05,122.37,47.25,0.233832,0.000538024,2.19658,0.000216795,0.358906,0.001825125
13,1565404838,1565404842,12.05,162.37,47.25,0.13647720000000002,0.000866958,2.2415,7.071100000000001e-05,0.324422,0.000301944
14,1565404847,1565404851,12.05,202.37,47.25,0.043208800000000006,0.00034058900000000003,2.27268,4.4721e-05,0.285084,0.000511107
15,1565404909,1565404913,12.05,42.37,87.25,0.35375,0.00014560200000000002,2.0846,7.071100000000001e-05,0.446754,0.00026340099999999997
16,1565404921,1565404925,12.05,82.37,87.25,0.294066,0.000189288,2.16998,0.000130384,0.409738,0.000569623
17,1565404930,1565404934,12.05,122.37,87.25,0.223392,0.001078411,2.23338,0.000238747,0.371954,0.0014217000000000001
18,1565404941,1565404945,12.05,162.37,87.25,0.1302378,0.003198533,2.2810599999999996,0.00016733200000000002,0.328646,0.000967822
19,1565404950,1565404954,12.05,202.37,87.25,0.045573800000000005,0.004845808,2.31272,0.000327109,0.285238,0.0006986560000000001
20,1565404997,1565405001,12.05,42.37,127.25,0.342482,7.4632e-05,2.11498,4.4721e-05,0.473566,0.000174155
21,1565405006,1565405010,12.05,82.37,127.25,0.300526,0.001071555,2.20706,0.000151658,0.43175,0.00029899799999999997
22,1565405016,1565405020,12.05,122.37,127.25,0.239144,0.000360874,2.2763400000000003,8.944299999999999e-05,0.38579600000000003,0.000711393
23,1565405026,1565405030,12.05,162.37,127.25,0.155824,0.000632228,2.32648,4.4721e-05,0.33814,0.00042959300000000003
24,1565405036,1565405040,12.05,202.37,127.25,0.0674224,0.001148413,2.3584400000000003,0.000151658,0.286346,0.00268528
25,1565405128,1565405132,12.05,42.37,167.25,0.3354,5.831e-05,2.1558599999999997,8.944299999999999e-05,0.507636,0.000358929
26,1565405140,1565405144,12.05,82.37,167.25,0.306802,0.000151559,2.25462,0.000164317,0.45547200000000004,0.000804065
27,1565405149,1565405153,12.05,122.37,167.25,0.257424,0.0009495419999999999,2.32702,0.000109545,0.401432,0.0017646729999999998
28,1565405158,1565405162,12.05,162.37,167.25,0.18073820000000002,0.001702862,2.3782400000000004,0.00016733200000000002,0.340982,0.002372735
29,1565405168,1565405172,12.05,202.37,167.25,0.09697460000000001,0.0015072820000000002,2.40808,4.4721e-05,0.283862,0.000652855
30,1565405254,1565405258,12.05,42.37,327.25,0.7407199999999999,0.00040724699999999996,2.49384,5.4772e-05,0.699156,0.000379974
31,1565405263,1565405267,12.05,82.37,327.25,0.642736,0.000501228,2.6891,0.000339116,0.503174,0.00237782
