cycle,time_start,time_end,u,v,w,B_u,dB_u,B_v,dB_v,B_w,dB_w
0,1565394749,1565394753,112.05,-146.13,-72.75,1.2841200000000002,0.0018938720000000002,2.6517,0.000969536,-0.579654,0.0007354789999999999
1,1565394759,1565394763,112.05,-106.13000000000001,-72.75,1.06492,0.0019036810000000002,2.32958,0.0009731389999999999,-0.1265696,0.000114721
2,1565394770,1565394774,112.05,-66.13000000000001,-72.75,0.9433520000000001,0.00012112,2.2149799999999997,8.366600000000001e-05,0.007353,0.005334752
3,1565394780,1565394784,112.05,-26.129999999999995,-72.75,0.8292219999999999,0.000182675,2.23826,5.4772e-05,0.056827800000000005,0.00038925699999999995
4,1565394788,1565394792,112.05,13.870000000000005,-72.75,0.694584,0.001839709,2.32002,0.000294958,0.0985528,0.000630076
5,1565394833,1565394837,112.05,-146.13,-32.75,0.9878819999999999,8.983299999999999e-05,2.04332,4.4721e-05,-0.39781,0.00036891699999999996
6,1565394843,1565394847,112.05,-106.13000000000001,-32.75,0.924624,0.0007352410000000001,2.07294,0.000230217,-0.050825800000000004,0.000830663
7,1565394854,1565394858,112.05,-66.13000000000001,-32.75,0.835058,0.00026205,2.11222,0.000303315,0.10930899999999999,0.00220012
8,1565394865,1565394869,112.05,-26.129999999999995,-32.75,0.732164,0.00173824,2.18458,0.000486826,0.1854218,0.000668913
9,1565394875,1565394879,112.05,13.870000000000005,-32.75,0.6199859999999999,0.0018232329999999998,2.2711200000000002,0.000580517,0.22909200000000002,0.0013257529999999998
10,1565394978,1565394982,112.05,-146.13,7.25,0.812282,6.3008e-05,1.7499779999999998,8.7864e-05,-0.0965462,0.001056185
11,1565394987,1565394991,112.05,-106.13000000000001,7.25,0.8367040000000001,0.001020725,1.876718,0.000334918,0.07189060000000001,0.000848605
12,1565394996,1565395000,112.05,-66.13000000000001,7.25,0.774942,0.0008893089999999999,2.00834,0.000181659,0.19634920000000003,0.001019507
13,1565395008,1565395012,112.05,-26.129999999999995,7.25,0.701446,0.022788329,2.1261799999999997,0.006663858000000001,0.258306,0.004076129
14,1565395017,1565395021,112.05,13.870000000000005,7.25,0.587142,0.0015761570000000001,2.23962,0.000511859,0.29846,0.001373936
15,1565395079,1565395083,112.05,-146.13,47.25,0.782474,0.00013975,1.626214,0.000118025,0.009744200000000001,0.000583449
16,1565395087,1565395091,112.05,-106.13000000000001,47.25,0.8228139999999999,0.000366511,1.740746,0.000122801,0.1598882,0.001692608
17,1565395096,1565395100,112.05,-66.13000000000001,47.25,0.767208,0.001379627,1.9209,0.00042959300000000003,0.258,0.0011468
18,1565395106,1565395110,112.05,-26.129999999999995,47.25,0.684376,0.001042559,2.0827,0.000331662,0.31259000000000003,0.000436234
19,1565395115,1565395119,112.05,13.870000000000005,47.25,0.59534,0.001096745,2.21678,0.000311448,0.34249,0.001228882
