index,x,y,z,B_x,B_y,B_z
1,98.2,192.75,-194.28,-0.594004,-1.038404,-1.255494
2,98.2,192.75,-154.28000000000003,-0.5738880000000001,-0.9019719999999999,-1.340306
3,98.2,192.75,-114.28,-0.5071060000000001,-0.7952060000000001,-1.428224
4,98.2,192.75,-74.28,-0.430332,-0.70513,-1.505426
6,58.2,192.75,-194.28,-0.884856,-1.0463559999999998,-1.223178
7,58.2,192.75,-154.28000000000003,-0.841724,-0.9144979999999999,-1.399624
8,58.2,192.75,-114.28,-0.7539560000000001,-0.798492,-1.517398
9,58.2,192.75,-74.28,-0.662516,-0.6975520000000001,-1.608406
11,18.2,192.75,-194.28,-1.2921280000000002,-0.9966440000000001,-1.328058
12,18.2,192.75,-154.28000000000003,-1.1248040000000001,-0.8743879999999999,-1.510286
13,18.2,192.75,-114.28,-0.995142,-0.751354,-1.627142
14,18.2,192.75,-74.28,-0.879776,-0.639582,-1.7296779999999998
16,-21.799999999999997,192.75,-194.28,-1.65367,-0.9297799999999999,-1.62792
17,-21.799999999999997,192.75,-154.28000000000003,-1.40803,-0.78692,-1.676452
18,-21.799999999999997,192.75,-114.28,-1.216422,-0.547726,-1.7950959999999998
19,-21.799999999999997,192.75,-74.28,-1.16326,-0.47325,-1.8537299999999999
21,-61.8,192.75,-194.28,-1.9218400000000002,-0.8956940000000001,-1.96508
22,-61.8,192.75,-154.28000000000003,-1.7218220000000002,-0.646174,-1.84138
23,-61.8,192.75,-114.28,-1.588574,-0.38763200000000003,-1.8683
24,-61.8,192.75,-74.28,-1.448248,-0.0947242,-1.9878200000000001
26,-101.8,192.75,-194.28,-2.13068,-0.627066,-2.18076
27,-101.8,192.75,-154.28000000000003,-2.0324,-0.38252600000000003,-1.97848
28,-101.8,192.75,-114.28,-1.8742,-0.1759496,-2.0824
29,-101.8,192.75,-74.28,-1.339294,0.1545842,-2.38584
31,-101.8,152.75,-194.28,-1.6660279999999998,-0.1692876,-2.43074
32,-101.8,152.75,-154.28000000000003,-1.61717,0.014655200000000002,-2.14018
33,-101.8,152.75,-114.28,-1.576006,0.1556388,-2.2127
34,-101.8,152.75,-74.28,-1.207008,0.1410918,-2.50552
36,-61.8,152.75,-194.28,-1.7358080000000002,-0.511896,-2.17176
37,-61.8,152.75,-154.28000000000003,-1.465926,-0.372868,-2.02066
38,-61.8,152.75,-114.28,-1.28551,-0.251146,-2.04838
39,-61.8,152.75,-74.28,-1.074574,-0.15071020000000002,-2.16476
41,-21.799999999999997,152.75,-194.28,-1.570382,-0.7209399999999999,-1.737902
42,-21.799999999999997,152.75,-154.28000000000003,-1.289706,-0.596514,-1.800548
43,-21.799999999999997,152.75,-114.28,-1.1134819999999999,-0.478868,-1.8717240000000002
44,-21.799999999999997,152.75,-74.28,-0.959026,-0.38038,-1.965682
46,18.2,152.75,-194.28,-1.183318,-0.83488,-1.457492
47,18.2,152.75,-154.28000000000003,-1.028054,-0.70785,-1.635304
48,18.2,152.75,-114.28,-0.890186,-0.599216,-1.7364259999999998
49,18.2,152.75,-74.28,-0.7623979999999999,-0.51061,-1.820552
51,58.2,152.75,-194.28,-0.836316,-0.9348879999999999,-1.386884
52,58.2,152.75,-154.28000000000003,-0.8113319999999999,-0.7843859999999999,-1.526248
53,58.2,152.75,-114.28,-0.722022,-0.67306,-1.6191360000000001
54,58.2,152.75,-74.28,-0.619862,-0.583072,-1.697846
56,98.2,152.75,-194.28,-0.629418,-0.9712299999999999,-1.44976
57,98.2,152.75,-154.28000000000003,-0.602788,-0.810678,-1.469998
58,98.2,152.75,-114.28,-0.52244,-0.7028439999999999,-1.527476
59,98.2,152.75,-74.28,-0.43683,-0.6166159999999999,-1.591386
61,98.2,112.75,-194.28,-0.6392359999999999,-0.881866,-1.6501400000000002
62,98.2,112.75,-154.28000000000003,-0.603068,-0.736136,-1.592126
63,98.2,112.75,-114.28,-0.51747,-0.638808,-1.616362
64,98.2,112.75,-74.28,-0.426708,-0.561856,-1.6648919999999998
66,58.2,112.75,-194.28,-0.757508,-0.826116,-1.584916
67,58.2,112.75,-154.28000000000003,-0.74287,-0.683176,-1.649636
68,58.2,112.75,-114.28,-0.6575979999999999,-0.5886279999999999,-1.7088580000000002
69,58.2,112.75,-74.28,-0.55785,-0.515896,-1.76867
71,18.2,112.75,-194.28,-1.037614,-0.709304,-1.606862
72,18.2,112.75,-154.28000000000003,-0.911134,-0.5925520000000001,-1.73825
73,18.2,112.75,-114.28,-0.7875479999999999,-0.50979,-1.816418
74,18.2,112.75,-74.28,-0.6614680000000001,-0.44415,-1.886666
76,-21.799999999999997,112.75,-194.28,-1.338436,-0.513474,-1.8518759999999999
77,-21.799999999999997,112.75,-154.28000000000003,-1.08633,-0.448246,-1.898928
78,-21.799999999999997,112.75,-114.28,-0.913108,-0.390202,-1.955108
79,-21.799999999999997,112.75,-74.28,-0.7623,-0.341502,-2.02516
81,-61.8,112.75,-194.28,-1.458726,-0.23215999999999998,-2.21932
82,-61.8,112.75,-154.28000000000003,-1.196656,-0.22596599999999997,-2.0967599999999997
83,-61.8,112.75,-114.28,-1.0213700000000001,-0.188412,-2.1138
84,-61.8,112.75,-74.28,-0.842678,-0.1686126,-2.19372
86,-101.8,112.75,-194.28,-1.271728,0.042228800000000004,-2.5087
87,-101.8,112.75,-154.28000000000003,-1.14957,0.0401556,-2.2454
88,-101.8,112.75,-114.28,-1.045822,0.0736422,-2.26114
89,-101.8,112.75,-74.28,-0.857844,0.0261218,-2.3886
91,-141.8,112.75,-194.28,-0.795568,0.156447,-2.56542
92,-141.8,112.75,-154.28000000000003,-0.917594,0.266714,-2.25564
93,-141.8,112.75,-114.28,-0.867878,0.354038,-2.35718
94,-141.8,112.75,-74.28,-0.7297560000000001,0.222398,-2.58712
1,-101.8,72.75,-194.28,-1.06492,0.1265696,-2.32958
2,-101.8,72.75,-154.28000000000003,-0.943352,-0.007353,-2.21498
3,-101.8,72.75,-114.28,-0.8292219999999999,-0.05682780000000001,-2.23826
4,-101.8,72.75,-74.28,-0.694584,-0.0985528,-2.32002
6,-101.8,32.75,-194.28,-0.924624,0.0508258,-2.07294
7,-101.8,32.75,-154.28000000000003,-0.835058,-0.109309,-2.11222
8,-101.8,32.75,-114.28,-0.732164,-0.1854218,-2.18458
9,-101.8,32.75,-74.28,-0.6199859999999999,-0.229092,-2.27112
11,-101.8,-7.25,-194.28,-0.8367040000000001,-0.07189060000000001,-1.876718
12,-101.8,-7.25,-154.28000000000003,-0.774942,-0.19634920000000006,-2.00834
13,-101.8,-7.25,-114.28,-0.701446,-0.258306,-2.12618
14,-101.8,-7.25,-74.28,-0.587142,-0.29846,-2.23962
16,-101.8,-47.25,-194.28,-0.8228139999999999,-0.1598882,-1.740746
17,-101.8,-47.25,-154.28000000000003,-0.767208,-0.258,-1.9209
18,-101.8,-47.25,-114.28,-0.684376,-0.31259000000000003,-2.0827
19,-101.8,-47.25,-74.28,-0.59534,-0.34249,-2.21678
21,-101.8,-87.25,-194.28,-0.8317120000000001,-0.231186,-1.612784
22,-101.8,-87.25,-154.28000000000003,-0.768882,-0.329984,-1.842464
23,-101.8,-87.25,-114.28,-0.686858,-0.38344,-2.03866
24,-101.8,-87.25,-74.28,-0.601166,-0.405968,-2.19952
26,-101.8,-127.25,-194.28,-0.839324,-0.299718,-1.47366
27,-101.8,-127.25,-154.28000000000003,-0.7680279999999999,-0.39923,-1.763238
28,-101.8,-127.25,-114.28,-0.693234,-0.453282,-1.99388
29,-101.8,-127.25,-74.28,-0.6091840000000001,-0.474368,-2.18358
31,-101.8,-167.25,-194.28,-0.8327100000000001,-0.34444600000000003,-1.35376
32,-101.8,-167.25,-154.28000000000003,-0.769526,-0.45005,-1.6938240000000002
33,-101.8,-167.25,-114.28,-0.709954,-0.490128,-1.96163
34,-101.8,-167.25,-74.28,-0.639432,-0.508716,-2.17892
